COURSE CODE,TITLE,LOCAL CREDIT,ECTS CREDIT,REMAINING / TOTAL QUOTA,CAMPUS,CLASSROOM(S),INSTRUCTOR NAME,INSTRUCTOR SURNAME,ASSISTANT,TIME SLOT,FACULTY NAME,COURSE HOUR(S),LIVE SECTION
ENT302.3,Industrial Design Studio IV (4),4,11,0 / 1,Şile,"D/K-306, D/K-306, D/K-306, D/K-306, D/K-306, D/K-306, D/K-306, D/K-306",NURHAN,YILMAZ BORAND,STAFF,"Salı 08:30 - 09:20, Salı 09:30 - 10:20, Salı 11:30 - 12:20, Salı 12:30 - 13:20, Salı 13:30 - 14:20, Salı 14:30 - 15:20, Salı 15:30 - 16:20, Salı 16:30 - 17:20","Faculty of Arts, Design and Architecture",8,NO
ENT302.4,Industrial Design Studio IV (4),4,11,0 / 1,Şile,"D/K-308, D/K-308, D/K-308, D/K-308, D/K-308, D/K-308, D/K-308, D/K-308",ÖZCAN,MENEKŞE,STAFF,"Salı 08:30 - 09:20, Salı 09:30 - 10:20, Salı 11:30 - 12:20, Salı 12:30 - 13:20, Salı 13:30 - 14:20, Salı 14:30 - 15:20, Salı 15:30 - 16:20, Salı 16:30 - 17:20","Faculty of Arts, Design and Architecture",8,NO
ENT390.1,Industry Internship II,0,0,11 / 15,Şile,,SİNEM BAHAR,TUNÇELLİ,STAFF,,"Faculty of Arts, Design and Architecture",0,NO
ENT401.1,Industrial Design Studio V (4),4,13,0 / 2,Şile,"D/K-304, D/K-304, D/K-304, D/K-304, D/K-304, D/K-304, D/K-304, D/K-304",SİNEM BAHAR,TUNÇELLİ,STAFF,"Salı 08:30 - 09:20, Salı 09:30 - 10:20, Salı 11:30 - 12:20, Salı 12:30 - 13:20, Salı 13:30 - 14:20, Salı 14:30 - 15:20, Salı 15:30 - 16:20, Salı 16:30 - 17:20","Faculty of Arts, Design and Architecture",8,NO
ENT401.2,Industrial Design Studio V (4),4,13,0 / 1,Şile,"D/K-513, D/K-513, D/K-513, D/K-513, D/K-513, D/K-513, D/K-513, D/K-513",ETHEM HÜRSU,ÖKE,STAFF,"Salı 08:30 - 09:20, Salı 09:30 - 10:20, Salı 11:30 - 12:20, Salı 12:30 - 13:20, Salı 13:30 - 14:20, Salı 14:30 - 15:20, Salı 15:30 - 16:20, Salı 16:30 - 17:20","Faculty of Arts, Design and Architecture",8,NO
ENT401.3,Industrial Design Studio V (4),4,13,0 / 3,Şile,"D/K-306, D/K-306, D/K-306, D/K-306, D/K-306, D/K-306, D/K-306, D/K-306",NURHAN,YILMAZ BORAND,STAFF,"Salı 08:30 - 09:20, Salı 09:30 - 10:20, Salı 11:30 - 12:20, Salı 12:30 - 13:20, Salı 13:30 - 14:20, Salı 14:30 - 15:20, Salı 15:30 - 16:20, Salı 16:30 - 17:20","Faculty of Arts, Design and Architecture",8,NO
ENT401.4,Industrial Design Studio V (4),4,13,0 / 2,Şile,"D/K-308, D/K-308, D/K-308, D/K-308, D/K-308, D/K-308, D/K-308, D/K-308",ÖZCAN,MENEKŞE,STAFF,"Salı 08:30 - 09:20, Salı 09:30 - 10:20, Salı 11:30 - 12:20, Salı 12:30 - 13:20, Salı 13:30 - 14:20, Salı 14:30 - 15:20, Salı 15:30 - 16:20, Salı 16:30 - 17:20","Faculty of Arts, Design and Architecture",8,NO
ENT490.1,Industrial Design Graduation Project (4),4,15,6 / 25,Şile,"D/K-306, D/K-306, D/K-306, D/K-306, D/K-306, D/K-306, D/K-306, D/K-306",EMRE,ÇUBUKÇU,STAFF,,"Faculty of Arts, Design and Architecture",8,NO
ENTA1112.1,Basic Design II (3),3,7,7 / 30,Şile,"D/K-204, D/K-204, D/K-204, D/K-204, D/K-204, D/K-204",NURHAN,YILMAZ BORAND,STAFF,"Cuma 08:30 - 09:20, Cuma 09:30 - 10:20, Cuma 11:30 - 12:20, Cuma 12:30 - 13:20, Cuma 13:30 - 14:20, Cuma 14:30 - 15:20","Faculty of Arts, Design and Architecture",6,NO
ENTA1114.1,Visualisation For Industrial Design I (3),3,4,8 / 30,Şile,"D/K-205, D/K-205",SOYHAN,BALTACI,STAFF,"Çarşamba 08:30 - 09:20, Çarşamba 09:30 - 10:20","Faculty of Arts, Design and Architecture",2,NO
